,,"2,005","2,006","2,007","2,008","2,009","2,010","2,011","2,012",2013Q1,2013Q2,2013Q3,2013Q4,"2,013",2014Q1,2014Q2,2014Q3,2014Q4,"2,014",2015Q1,2015Q2,2015Q3,2015Q4,"2,015",2016Q1,2016Q2,2016Q3,2016Q4,"2,016",2017Q1,2017Q2,2017Q3,2017Q4,"2,017",2018Q1,2018Q2,2018Q3,2018Q4,"2,018",2019Q1,2019Q2,2019Q3,2019Q4,"2,019",2020Q1,2020Q2,2020Q3,2020Q4,"2,020",2021Q1,2021Q2,2021Q3,2021Q4,"2,021",2022Q1,2022Q2,,,,,,,,,,,,,,,,,,
,Table 2,FDI inward flows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,2006,2007,2008,2009,2010,2011,2012,2013,,,,,2014,,,,,2015,,,,,2016,,,,,2017,,,,,2018,,,,,2019,,,,,2020,,,,,2021,,,,,2022p,,,,,Half-year ,,,,Most recent quarters,,,,,,,,,,
,In USD millions ,Y,Y,Y,Y,Y,Y,Y,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,,Growth rates 2021,,Q3-Q4 2021,Q1-Q2 2022,GR,,Q1 2022,Q2 2022,GR,,,,,,,,
DNK,Denmark*,"8,614","9,161","7,233",-668,"1,428","-9,179","11,457",644,611,-789,-887,"2,110","1,045",-541,"-1,174","5,631",765,"4,680","-1,127","2,752",880,"1,112","3,617",180,-192,-644,891,235,"-2,988",-863,"8,251",-629,"3,771","2,512",-659,90,-227,"1,716","5,960","-1,911","3,323",-299,"7,073",,,"1,938",-957,"1,685",-746,"3,335",-230,"2,323","4,681",138,973,,178%,,"2,093","1,110",-47%,,138,973,607%,,,,,,,,
EST,Estonia,"2,798","1,335","2,312","1,826","1,840","1,509","1,006","1,566",35,423,323,-10,771,257,195,478,-247,684,256,-485,496,-231,36,255,85,218,501,"1,058",741,304,604,298,"1,947",41,"1,085",459,-69,"1,516","1,977",77,703,439,"3,196",551,420,"1,312","1,185","3,467","1,732",533,288,"-2,365",188,"2,159","-2,347",,-95%,,"-2,077",-188,-,,"2,159","-2,347",-,,,,,,,,
FIN,Finland,"4,749","7,655","12,452","-1,124",718,"7,359","2,552","4,156",115,"-2,461",-328,"2,567",-106,"7,145","4,155","4,015","3,233","18,548","3,623","-4,098","1,676",908,"2,110","1,517","5,798",608,652,"8,576",903,229,"1,565",161,"2,858",511,"-5,713",994,"2,038","-2,170","3,422",-115,"4,520","5,627","13,455",-300,"-2,193",897,19,"-1,575","5,333","1,142","4,160","3,168","13,804",c,c,,-,,"7,329",0,-100%,,c,c,,,,,,,,,
FRA,France,"33,209","25,340","63,511","37,521","30,735","13,891","31,671","16,069","14,317","6,846","5,591","7,511","34,264","4,211","1,518","-7,302","4,243","2,669","10,627","6,335","20,900","7,492","45,355","12,570","3,361","3,139","3,984","23,055","11,453","8,505","6,648","-1,826","24,780","3,007","8,518","3,152","27,129","41,807","15,802","9,812","-1,083","-11,432","13,100","-4,006","1,600","2,714","1,842","2,149","25,386","-2,189","8,295","-4,518","26,973","3,808","7,248",,1155%,,"3,777","11,056",193%,,"3,808","7,248",90%,,,,,,,,
DEU,Germany,"47,421","55,686","80,227","8,114","23,807","65,646","67,573","28,190","-3,287","-11,214","8,212","19,059","12,771","-7,057","1,599","8,405","-6,147","-3,200","10,298","3,979","6,073","10,184","30,534","9,081","-2,802","5,368","3,971","15,618","11,184","10,443","16,087","10,823","48,538","11,193","7,342","4,087","49,431","72,053","21,842","17,218",784,"12,820","52,664","10,992","9,176","3,768","40,506","64,442","8,737","20,620","-6,544","8,450","31,263","17,243",453,,-51%,,"1,906","17,696",828%,,"17,243",453,-97%,,,,,,,,
GRC,Greece,623,"5,358","2,112","4,490","2,437",330,"1,144","1,741",122,343,33,"2,319","2,817",573,"1,050",307,754,"2,683",210,449,195,413,"1,268",369,356,892,"1,145","2,762","1,216",946,562,754,"3,477","1,008","1,415",614,935,"3,971",907,"1,421",924,"1,768","5,019",996,735,666,808,"3,205","1,121","1,642","1,475","2,089","6,327","2,872","1,958",,97%,,"3,564","4,830",36%,,"2,872","1,958",-32%,,,,,,,,
HUN,Hungary*,"7,711","6,817","3,952","6,397","2,175","2,355","6,553","14,625",948,-915,"-2,150","5,704","3,587","2,151","-1,202","2,581","4,438","7,967",603,-217,"2,001","-16,932","-14,545","-9,760",-273,"2,166","2,427","-5,439","3,572",481,321,-860,"3,514",529,294,"2,860","2,777","6,460",878,-951,"1,445","3,077","4,448","1,433","1,725",883,"2,998","7,039",527,437,"3,268","3,260","7,492",536,570,,6%,,"6,528","1,106",-83%,,536,570,6%,,,,,,,,
ISL,Iceland*,"3,076","3,858","6,822",919,79,245,"1,107","1,025",141,61,139,56,397,-35,169,409,-95,447,679,-607,-41,678,709,-12,-353,424,-486,-427,-83,-242,228,55,-41,-244,21,-281,123,-382,-74,-122,18,-47,-225,-175,-101,-752,100,-928,-249,-83,48,309,25,-27,357,,-,,357,329,-8%,,-27,357,-,,,,,,,,
IRL,Ireland,"-31,670","-5,545","24,712","-16,421","25,717","42,807","23,566","48,901","30,920","9,469","7,187","3,009","50,585","-1,961","14,271","23,726","12,151","48,186","15,828","30,116","10,063","161,813","217,820","22,496","-2,888","13,012","6,758","39,377","2,670","78,478","2,167","-30,593","52,722","-21,139","-51,736","-10,753","71,116","-12,512","-1,615","-8,769","33,317","135,557","158,489","36,472","57,093","-21,615","10,172","82,122","-8,588","7,127","-2,150","19,537","15,926",-522,"-36,147",,-81%,,"17,387","-36,669",-,,-522,"-36,147",-,,,,,,,,
ISR,"Israel2,5","4,819","14,396","8,798","10,275","4,607","6,985","8,653","9,018","2,858","5,047","2,337","1,601","11,842","4,025","1,637","1,516","-1,128","6,049","4,876","3,187","2,257","1,016","11,336","2,719","1,850","2,746","4,674","11,988","1,979","1,735","2,726","10,452","16,893","3,360","2,709","4,042","11,404","21,515","2,906","3,208","4,416","6,833","17,363","4,521","10,279","4,125","4,185","23,109","7,912","7,380","5,592",603,"21,486","4,391","7,213",,-7%,,"6,195","11,603",87%,,"4,391","7,213",64%,,,,,,,,
ITA,Italy,"19,960","39,259","40,209","-10,814","20,078","9,179","34,355",93,,,,,"24,267",-125,"7,697","3,681","11,971","23,224","5,254",926,"4,157","9,295","19,631","3,836","1,073","6,131","17,401","28,441","5,481","6,619","5,475","6,421","23,996","6,707","5,085","6,593","19,274","37,659","4,238","-2,039","10,735","5,211","18,145","3,470","-8,091","-6,424","-12,523","-23,568","-1,945","2,329","-7,334","-2,005","-8,954","9,738",-381,,-,,"-9,338","9,357",-,,"9,738",-381,-,,,,,,,,
JPN,Japan6,"2,778","-6,503","22,548","24,418","11,939","-1,252","-1,757","1,732","1,155","1,222",59,-132,"2,303",707,-914,432,"1,921","10,622","1,677",136,"-4,182",-383,"-2,251","3,212","1,721","6,813",-254,"19,357","4,315",117,"3,445","2,509","9,354","5,203","2,844","1,089","1,616","9,961","3,062","2,354","2,644","7,420","13,751","4,420","3,435","4,902","1,223","10,704","15,115","1,154","4,633","5,412","24,650","6,474","2,308",,130%,,"10,045","8,783",-13%,,"6,474","2,308",-64%,,,,,,,,
KOR,Korea,"6,066","4,964","1,482","7,603","6,586","8,117","10,247","11,117",,,,,"6,083",,,,,-917,,,,,"3,076",,,,,"7,415",,,,,"12,699",,,,,"13,299",,,,,"12,548",,,,,"6,837","2,310","6,286","3,531","4,693","16,820","5,113","2,285",,146%,,"8,224","7,398",-10%,,"5,113","2,285",-55%,,,,,,,,
LVA,Latvia,706,"1,666","2,324","1,260",-21,420,"1,469","1,113",182,214,96,412,903,251,141,117,387,896,235,131,236,139,739,-85,-126,276,188,254,184,154,453,-48,744,142,31,247,542,961,140,69,415,303,927,194,209,334,267,"1,004",566,563,557,"1,636","3,320",358,335,,231%,,"2,193",694,-68%,,358,335,-6%,,,,,,,,
LTU,Lithuania,"1,134","2,024","2,290","1,790",-448,"1,020","1,801",802,449,125,151,-151,574,106,33,-76,,-133,338,312,171,,"1,055",-675,362,205,409,302,,,,159,"1,019",169,106,541,160,976,260,"2,202",497,63,"3,022",283,"2,947",211,43,"3,484",786,507,317,"1,163","2,773",489,756,,-20%,,"1,481","1,245",-16%,,489,756,55%,,,,,,,,
LUX,Luxembourg*,"5,976","31,802","-28,266","11,194","20,667","35,661","13,302","2,825","1,058","8,739","15,415","-1,924","23,288","5,033","15,104","-5,478","5,376","20,034",830,"4,018","24,337","16,237","45,422",566,-554,"11,368","6,184","17,564","-8,076","13,748","-12,217","-20,767","-27,311",365,"-7,865","-16,838","-58,946","-83,285","-4,108","5,405","36,755","125,662","163,713","-32,800","78,284","-23,109","46,319","68,694","8,417","2,958","9,502","-14,270","6,606","9,389","3,955",,-90%,,"-4,768","13,345",-,,"9,389","3,955",-58%,,,,,,,,
MEX,Mexico* ,"25,808","21,244","32,393","29,511","17,855","27,193","25,582","21,759","10,476","21,019","4,179","12,583","48,257","13,829","5,481","3,222","7,819","30,352","12,137","6,669","9,636","7,521","35,963","12,814","6,211","4,317","7,855","31,196","13,768","6,821","6,375","7,068","34,032","14,079","9,599","4,144","6,262","34,084","15,162","6,539","8,289","4,384","34,374","16,812","7,285","1,304","2,731","28,133","16,173","5,920","6,383","3,042","31,517","20,308","7,204",,12%,,"9,425","27,512",192%,,"20,308","7,204",-65%,,,,,,,,
NLD,Netherlands*,"39,077","13,901","119,733","5,751","38,748","-7,185","24,391","20,121","13,822",223,"25,998","11,053","51,096","12,808","23,664","7,770",776,"45,018","25,532","51,889","69,234","29,293","175,949","44,628","-18,015","27,364","6,453","60,430","18,963","-1,967","43,629","-40,078","20,545","23,113","18,470","-6,077","63,815","99,319","4,970","19,801","-45,353","19,442","-1,140","-29,061","-25,447","-1,392","-30,409","-86,310","-11,553","-4,385","-20,015","-41,491","-77,444","27,850","12,997",,-,,"-61,506","40,847",-,,"27,850","12,997",-53%,,,,,,,,
