,,"2,005","2,006","2,007","2,008","2,009","2,010","2,011","2,012",2013Q1,2013Q2,2013Q3,2013Q4,"2,013",2014Q1,2014Q2,2014Q3,2014Q4,"2,014",2015Q1,2015Q2,2015Q3,2015Q4,"2,015",2016Q1,2016Q2,2016Q3,2016Q4,"2,016",2017Q1,2017Q2,2017Q3,2017Q4,"2,017",2018Q1,2018Q2,2018Q3,2018Q4,"2,018",2019Q1,2019Q2,2019Q3,2019Q4,"2,019",2020Q1,2020Q2,2020Q3,2020Q4,"2,020",2021Q1,2021Q2,2021Q3,2021Q4,"2,021",2022Q1,2022Q2,,,,,,,,,,,,,,,,,,
,Table 2,FDI inward flows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,2006,2007,2008,2009,2010,2011,2012,2013,,,,,2014,,,,,2015,,,,,2016,,,,,2017,,,,,2018,,,,,2019,,,,,2020,,,,,2021,,,,,2022p,,,,,Half-year ,,,,Most recent quarters,,,,,,,,,,
,In USD millions ,Y,Y,Y,Y,Y,Y,Y,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,,Growth rates 2021,,Q3-Q4 2021,Q1-Q2 2022,GR,,Q1 2022,Q2 2022,GR,,,,,,,,
GBR,United Kingdom,"182,894","147,396","176,864","91,798","89,796","58,180","42,196","55,626","19,401","36,983","21,594","-26,306","51,673","98,851","-40,914","-72,473","39,239","24,704","34,732","-45,453","9,335","40,574","39,189","72,115","19,568","36,011","130,876","258,570","30,749","7,817","41,870","15,964","96,401","32,104","9,049","2,301","44,364","87,818","-11,812","32,487","30,698","2,534","53,908","58,503","-17,758","5,871","11,643","58,260","6,949","22,480","8,710","-15,051","23,088","11,900","12,308",,-60%,,"-6,341","24,208",-,,"11,900","12,308",3%,,,,,,,,
USA,United States,"116,656","247,328","227,715","318,449","157,737","210,544","242,155","211,467","37,237","67,117","62,251","50,667","217,274","-71,976","82,268","106,970","94,723","211,985","240,161","97,086","64,312","82,289","483,849","142,270","154,893","121,155","61,698","480,016","98,848","82,287","74,236","69,702","325,073","33,819","-5,428","107,366","80,658","216,415","67,787","67,918","53,827","67,184","256,715","20,033","16,524","35,175","37,387","109,120","77,569","77,742","125,998","123,985","405,296","74,266","74,357",,271%,,"249,983","148,623",-41%,,"74,266","74,357",0%,,,,,,,,L
WLD,"Total World1,3","968,575","1,429,016","1,947,979","1,613,193","1,228,264","1,506,991","1,755,753","1,649,419","401,497","371,732","392,655","420,790","1,586,676","366,111","366,478","383,523","478,137","1,594,253","664,605","429,472","471,621","576,157","2,141,848","564,776","380,398","502,612","603,268","2,051,055","451,512","482,058","420,718","348,874","1,703,166","344,577","240,968","309,865","563,714","1,459,124","381,124","326,932","419,454","603,124","1,730,633","281,430","262,958","207,932","345,848","1,098,170","469,095","447,071","454,224","376,630","1,748,467","554,802","359,805",,59%,,"830,854","914,607",10%,,"554,802","359,805",-35%,,,,,,,,
EU,European Union (EU)1,"451,380","513,002","805,527","356,414","416,154","386,408","447,470","438,691","103,130","58,019","93,471","83,151","337,770","184,507","56,053","15,065","90,873","346,501","131,743","45,384","198,156","250,364","625,639","203,330","15,073","155,236","239,537","613,177","120,316","113,646","142,667","3,458","380,090","83,993","13,460","42,633","258,567","400,186","92,025","75,163","126,513","354,669","648,369","30,344","104,605","-25,318","63,537","173,169","65,388","66,842","16,291","-13,953","134,564","111,038","26,782",,-22%,,"2,338","137,820",5795%,,"111,038","26,782",-76%,,,,,,,,
EU27_2020,European Union – 27 countries (from 01/02/2020),"268,486","365,606","628,663","264,615","326,359","328,227","405,274","383,065","83,729","21,036","71,876","109,457","286,097","85,656","96,967","87,537","51,634","321,797","97,012","90,837","188,820","209,789","586,451","131,215","-4,495","119,225","108,661","354,607","89,567","105,828","100,797","-12,507","283,689","51,890","4,411","40,332","214,203","312,369","103,837","42,676","95,815","352,135","594,462","30,344","104,605","-25,318","63,537","173,169","65,388","66,842","16,291","-13,953","134,564","111,038","26,782",,-22%,,"2,338","137,820",5795%,,"111,038","26,782",-76%,,,,,,,,
G20,"G20 countries1,7","615,842","871,283","1,141,020","1,041,255","695,825","904,231","1,067,764","890,958","237,478","279,962","236,559","259,468","1,013,468","169,130","183,591","183,011","330,524","866,257","435,076","198,434","214,908","285,928","1,134,347","355,118","287,371","270,847","375,397","1,288,734","278,100","209,134","262,376","238,315","987,927","263,901","187,838","227,795","344,698","1,024,233","233,635","266,601","207,189","222,262","929,688","209,570","91,764","168,536","225,216","695,086","308,088","284,065","333,292","282,292","1,206,074","354,661","217,006",,74%,,"615,584","571,667",-7%,,"354,661","217,006",-39%,,,,,,,,
G20_OECD,G20-OECD countries1,"442,294","641,529","825,281","634,658","421,519","465,426","566,732","462,454","120,850","168,394","132,383","114,471","536,101","64,286","84,623","79,077","201,939","429,925","332,571","98,899","143,029","173,258","747,758","280,220","214,267","207,753","259,540","961,780","196,324","145,110","181,558","130,824","653,816","137,135","81,591","154,830","258,191","631,747","137,422","173,077","130,176","113,553","554,227","132,418","26,601","59,323","88,782","307,124","176,842","147,409","170,398","157,792","650,778","209,096","129,896",,112%,,"328,190","338,992",3%,,"209,096","129,896",-38%,,,,,,,,
G20_NON_OECD,"G20 -non OECD countries1,7","173,548","229,754","315,739","406,597","274,307","438,805","501,032","428,504","116,628","111,567","104,176","144,996","477,367","104,844","98,968","103,934","128,585","436,332","102,505","99,535","71,879","112,670","386,589","74,898","73,104","63,094","115,857","326,953","81,776","64,024","80,818","107,491","334,110","126,766","106,247","72,965","86,508","392,487","96,214","93,524","77,013","108,709","375,461","77,152","65,163","109,213","136,434","387,962","131,247","136,656","162,894","124,500","555,296","145,566","87,110",,43%,,"287,394","232,676",-19%,,"145,566","87,110",-40%,,,,,,,,
ARG,Argentina2,"5,265","5,537","6,473","9,726","4,017","11,333","10,840","15,324","2,185","3,252","2,832","1,553","9,822","1,129","-1,497","2,433","3,001","5,065","3,514","3,361","2,702","2,182","11,759","2,108",697,882,-427,"3,260","3,508","2,289","3,331","2,390","11,517","2,951","2,660","3,153","2,953","11,717","2,376",715,"1,602","1,956","6,649","1,784",-136,"1,519","1,556","4,723","2,755","1,797","1,121","1,109","6,782","3,884","4,592",,44%,,"2,230","8,476",280%,,"3,884","4,592",18%,,,,,,,,
BRA,Brazil,"15,066","18,822","34,585","45,058","25,949","77,687","97,422","82,060","12,758","15,708","12,594","18,029","59,089","14,884","15,151","17,558","16,254","63,846","9,430","12,907","11,303","16,322","49,961","13,435","14,235","10,098","15,933","53,700","21,488","16,295","12,634","16,168","66,585","18,362","11,950","11,931","17,559","59,802","11,619","17,363","22,546","13,858","65,386","10,334","6,533","8,737","2,714","28,318","14,253","10,937","19,037","6,141","50,367","27,828","27,888",,78%,,"25,178","55,716",121%,,"27,828","27,888",0.2%,,,,,,,,
CHN,China2,"104,109","124,082","156,249","171,535","131,057","243,703","280,072","241,214","59,360","69,025","57,307","105,237","290,928","61,319","53,803","64,110","88,866","268,097","66,830","61,739","42,311","71,610","242,489","41,308","37,722","25,746","69,974","174,750","33,052","21,102","32,645","79,284","166,084","81,979","61,670","34,234","57,482","235,365","53,946","42,216","25,670","65,338","187,170","44,695","47,054","64,302","97,045","253,096","95,555","79,063","72,257","87,104","333,979","101,914","45,874",,32%,,"159,361","147,788",-7%,,"101,914","45,874",-55%,,,,,,,,
IND,India2 ,"7,606","20,336","25,483","47,472","35,582","27,397","36,497","23,995","7,171","6,476","8,728","5,778","28,153","9,781","8,294","8,827","7,674","34,577","10,487","11,448","8,157","13,916","44,009","11,384","5,895","13,983","13,196","44,459","9,141","10,148","14,692","5,985","39,966","8,605","13,126","10,021","10,366","42,117","9,790","17,194","10,393","13,233","50,610","15,185","2,105","27,078","19,994","64,362","5,750","17,237","12,900","8,840","44,727","17,253","16,281",,-31%,,"21,740","33,534",54%,,"17,253","16,281",-6%,,,,,,,,
IDN,Indonesia ,"8,337","4,914","6,929","9,318","4,878","13,771","19,241","19,138","3,840","4,558","5,888","4,531","18,817","3,817","5,720","7,444","4,830","21,811","4,417","5,105","3,785","3,334","16,641","2,771","3,653","5,008","-7,511","3,921","2,924","5,104","8,197","4,354","20,579","5,189","6,130","6,705","2,539","20,563","6,617","6,134","6,150","4,982","23,883","5,283","5,211","3,735","4,362","18,591","5,233","6,621","4,881","3,999","20,733","5,579","4,281",,12%,,"8,880","9,860",11%,,"5,579","4,281",-23%,,,,,,,,
RUS,Russia,"14,375","37,442","54,922","75,856","27,752","31,668","36,868","30,188","27,765","8,480","9,784","7,368","53,397","11,288","12,886",649,"4,328","29,152","6,956","2,467",152,"2,283","11,858","1,298","8,445","4,886","22,547","37,176","10,186","7,971","7,713",83,"25,954","7,968","6,565","3,916","-5,221","13,228","9,852","6,848","8,248","7,127","32,076","-3,421","2,376","3,493","7,963","10,410","5,464","6,003","13,219","13,840","38,526","-15,538","-8,777",,270%,,"27,059","-24,315",-,,"-15,538","-8,777",-,,,,,,,,
SAU,"Saudi Arabia2,7","12,107","18,318","24,334","39,456","36,458","29,233","16,308","12,182","2,387","2,256","2,187","2,034","8,865","1,931","2,077","2,150","1,854","8,012","1,961","2,075","2,206","1,899","8,141","1,883","1,852","1,711","2,007","7,453",336,548,271,264,"1,419","1,008","1,095","1,075","1,068","4,247","1,249","1,122","1,150","1,042","4,563","1,613",826,"1,088","1,872","5,399","1,795","13,829","1,728","1,933","19,286","1,965",,,257%,,"3,661",-,-,,"1,965",-,-,,,,,,,,
ZAF,South Africa2,"6,683",303,"6,764","8,172","8,614","4,015","3,785","4,403","1,162","1,812","4,856",466,"8,296",695,"2,534",765,"1,778","5,772","-1,090",433,"1,263","1,124","1,729",712,605,780,139,"2,235","1,141",566,"1,335","-1,036","2,007",704,"3,051","1,930",-239,"5,447",764,"1,932","1,254","1,174","5,125","1,678","1,194",-739,928,"3,062",441,"1,170","37,751","1,534","40,896","2,620","1,688",,1235%,,"39,285","4,308",-89%,,"2,620","1,688",-36%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,*Data excludes SPEs. Corresponding data below including SPE's4:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,"77,903","5,557","56,753","7,143","11,139","-21,694","17,182","7,371",-243,"-3,008","3,592","-4,106","-3,765","3,998","-4,045","-2,234","2,310",29,"-1,157",92,"-3,556","-2,955","-7,577","-28,483","5,781","-1,384","-10,833","-34,917","1,126",-983,"1,180","8,693","10,017","3,881",71,"-5,951","-32,903","-34,903","1,022",359,"1,885","-25,707","-22,439",-903,"1,484","-3,545","-4,507","-7,472","3,670","2,280",-531,"4,814","10,232","2,593",-656,,-,,"4,283","1,938",-55%,,"2,593",-656,-,,,,,,,,
BEL,Belgium,"34,351","58,926","93,448","-13,830","62,847","132,604","241,730","-26,383","-14,571","-15,187","-20,287","-17,974","-68,019","-10,050","-22,343","-1,506","-7,293","-41,191","3,566","-28,182",-453,"-45,502","-70,573","11,544","-13,160","13,079","47,724","59,185","4,182","-20,482","5,574","10,019",-706,"1,776","-10,791","9,540","35,166","35,691","-6,497","-33,070","18,898","30,215","9,547","5,942","-25,071","12,099","11,600","4,568","6,026","-11,160","-5,739","22,360","11,488","-4,009","-5,762",,152%,,"16,621","-9,772",-,,"-4,009","-5,762",-,,,,,,,,
DNK,Denmark,"13,451","1,589","10,908","-4,198",-401,"-12,559","9,590","-18,358",629,"-1,359",-602,"1,967",635,-796,"-1,742","5,299",826,"3,586","-1,113","2,687",-478,"1,141","2,237","8,217",-628,-923,519,"7,184","-3,245",-829,"7,097",-912,"2,112","4,883",-411,"1,228",213,"5,913","-13,949","-1,907","3,374",-386,"-12,869","2,761","-2,046","1,901","-3,365",-749,-743,"3,342",-223,"2,329","4,705",145,983,,-,,"2,106","1,128",-46%,,145,983,579%,,,,,,,,
HUN,Hungary,"20,300","19,597","70,003","72,490","5,347","-37,104","23,866","15,247",922,"-3,290","-1,964","1,826","-2,506","3,081","-2,150","2,819","5,444","9,192","1,491","-3,009","2,619","-29,268","-28,167","-7,379",169,"2,212","53,344","48,347","21,765","-1,178","5,653","-24,126","2,115","2,274","1,177","6,531","-82,505","-72,523","1,267","4,579","16,326","48,678","70,850","7,792","71,792","9,305","5,079","93,969",331,"4,684","13,347","-1,279","17,084","2,578","-17,729",,-82%,,"12,068","-15,152",-,,"2,578","-17,729",-,,,,,,,,
ISL,Iceland,,,,,,,,,145,64,143,60,412,-34,170,410,-107,439,681,-604,-50,644,670,-5,-347,430,-479,-402,-83,-242,"-1,641","-1,092","-3,058",-244,21,-281,123,-381,-74,-122,18,-46,-225,-175,-101,-752,101,-927,-249,-83,49,309,26,-27,357,,-,,357,330,-8%,,-27,357,-,,,,,,,,
LUX,Luxembourg,"116,107","128,557","191,162","105,765","204,341","222,023","412,774","545,310","92,620","187,122","99,667","245,560","624,969","53,761","-25,047","132,429","48,722","209,866","176,121","101,631","197,823","109,301","584,875","37,887","50,480","31,720","12,489","132,575","-33,858","226,636","-203,913","23,537","12,403","-86,692","-44,433","-48,296","-238,476","-417,897","9,732","-96,642","-69,012","-49,252","-205,173","-64,566","69,559","-80,269","65,780","-9,496","-20,684","-71,909","-97,020","-86,347","-275,959","-27,833","-10,556",,-,,"-183,367","-38,389",-,,"-27,833","-10,556",-,,,,,,,,
NLD,Netherlands,"189,851","313,143","334,444","282,344","339,086","135,774","349,932","259,371","98,621","79,291","92,101","111,204","381,217","8,211","45,118","71,946","6,371","131,646","-2,619","53,828","193,417","41,997","286,623","42,692","-1,123","122,889","80,510","244,967","121,142","9,706","68,643","-64,704","134,787","-8,648","58,190","-136,554","-262,206","-349,218","32,292","-17,611","76,480","-79,867","11,294","-61,302","-44,378","-7,802","-125,946","-239,428","-6,846","-13,267","-54,541","-90,432","-165,086","16,161","5,240",,-,,"-144,973","21,401",-,,"16,161","5,240",-68%,,,,,,,,
POL,Poland,"9,723","18,379","21,663","13,857","11,892","12,799","18,290","7,130",,,,,"2,734","5,117","5,861","2,659","3,872","17,509","3,346","1,725","4,708","2,042","11,819","8,977","1,087","3,166","4,100","17,329","4,034","-1,365","3,651","3,187","9,507","7,048","1,873","6,185","1,270","16,376","8,275","2,725","3,714","-1,388","13,326","7,037","2,208","3,508","2,521","15,274","9,902","3,769","10,093","5,698","29,462","13,520","6,086",,93%,,"15,791","19,606",24%,,"13,520","6,086",-55%,,,,,,,,
PRT,Portugal,"2,233","10,774","2,805","3,544","1,612","2,913","7,436","8,231",104,-731,"3,227","5,842","8,442",-555,"3,297","3,004",-856,"4,891","1,137","5,171",883,437,"7,628","1,153","1,227","1,028","1,652","5,061","3,482","2,920",696,638,"7,735","2,918","1,951","1,576",666,"7,110","2,548","4,340","2,678","2,795","12,360","1,492",-259,"1,329","5,276","7,838",868,"1,653","3,635","2,507","8,665","2,525","3,566",,11%,,"6,142","6,091",-1%,,"2,525","3,566",41%,,,,,,,,
CHE,Switzerland,-949,"43,740","32,445","15,205","28,945","28,750","25,857","28,969",,,,,646,"12,671","7,217","-9,240","-1,297","9,352","23,440","6,596","-2,775","57,065","84,327","44,001","29,760","37,871","38,653","150,285","13,004","93,641","-10,682","15,237","111,199","-51,184","-2,259","-39,245","9,535","-83,153","-17,226","-10,128","14,332","-92,776","-105,797","-43,579","-65,826","-39,402","-13,891","-162,698","12,597","-25,636","-6,547","-3,713","-23,298","3,772","-10,993",,-,,"-10,260","-7,221",-,,"3,772","-10,993",-,,,,,,,,
,Notes to tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source: OECD and IMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OECD Directorate for Financial and Enterprise Affairs - Investment Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
