"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2011",169450.539,
"CAN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2012",187442.211,
"CAN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2013",186860.902,
"CAN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2014",170984.568,
"CAN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2015",130824.422,
"CAN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2016",135076.339,
"CAN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2017",141055.767,
"CAN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2018",134903.164,
"CAN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2019",150160.611,
"CAN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2020",155014.239,
"CZE","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2013",226.41,
"CZE","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2014",256.061,
"CZE","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2015",,"C"
"CZE","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2016",319.393,
"CZE","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2017",,"C"
"CZE","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2018",370.653,
"CZE","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2019",334.65,
"CZE","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2020",0,"Z"
"CZE","FDISTOCK_IN_IND","MFG","MLN_USD","A","2013",43343.437,
"CZE","FDISTOCK_IN_IND","MFG","MLN_USD","A","2014",40624.23,
"CZE","FDISTOCK_IN_IND","MFG","MLN_USD","A","2015",38352.261,
"CZE","FDISTOCK_IN_IND","MFG","MLN_USD","A","2016",38458.911,
"CZE","FDISTOCK_IN_IND","MFG","MLN_USD","A","2017",45505.749,
"CZE","FDISTOCK_IN_IND","MFG","MLN_USD","A","2018",46661.297,
"CZE","FDISTOCK_IN_IND","MFG","MLN_USD","A","2019",48417.49,
"CZE","FDISTOCK_IN_IND","MFG","MLN_USD","A","2020",51740.336,
"DNK","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2013",0,"Z"
"DNK","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2014",114.19,
"DNK","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2015",102.782,
"DNK","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2016",64.372,
"DNK","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2017",114.213,
"DNK","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2018",108.906,
"DNK","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2019",97.515,
"DNK","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2020",95.417,
"DNK","FDISTOCK_IN_IND","MFG","MLN_USD","A","2013",9977.276,
"DNK","FDISTOCK_IN_IND","MFG","MLN_USD","A","2014",10487.633,
"DNK","FDISTOCK_IN_IND","MFG","MLN_USD","A","2015",10288.726,
"DNK","FDISTOCK_IN_IND","MFG","MLN_USD","A","2016",9980.717,
"DNK","FDISTOCK_IN_IND","MFG","MLN_USD","A","2017",11633.455,
"DNK","FDISTOCK_IN_IND","MFG","MLN_USD","A","2018",11363.316,
"DNK","FDISTOCK_IN_IND","MFG","MLN_USD","A","2019",13802.334,
"DNK","FDISTOCK_IN_IND","MFG","MLN_USD","A","2020",19557.085,
"FIN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2013",0,"Z"
