,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3.3 FDI International investment positions in the United Kingdom analysed by area & main country and by industrial activity of UK affiliates, 2017 to 2020 (Directional)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,£ million,,,,,,,,,,,,,,,,,,,
,, ,, ,"Agriculture, forest & fishing",Mining & quarrying,"Food products, beverages & tobacco products",Textiles & wood activities,"Petroleum, chemicals, pharmaceuticals, rubber, plastic products",Metal and machinery products,"Computer, electronic and optical products",Transport equipment,Other manufacturing,"Electricity, gas, water and waste",Construction,"Retail & wholesale trade, repair of motor vehicles & motor cycles,",Transportation & storage,Information and communication,Financial services,"Professional, scientific & technical services",Administrative and support service activities,Other services,Total,,,,,,,,,,,,,,,,,,,
,, ,28,2020,89,..,577,38,512,94,60,..,346,"1,971",90,"5,477",254,88,"1,763",470,492,366,"12,709",,,,,,,,,,,,,,,,,,,
,,ESTONIA,30,2017,..,-,-,..,-,-,-,-,-,-,-,2,..,2,2,..,-,..,8,,,,,,,,,,,,,,,,,,,
,, ,31,2018,-,-,..,..,-,-,-,-,-,-,..,1,..,3,3,..,-,..,19,,,,,,,,,,,,,,,,,,,
,,,,2019,-,-,..,..,-,-,-,..,-,-,-,2,..,3,5,-,..,..,23,,,,,,,,,,,,,,,,,,,
,, ,32,2020,-,-,..,..,-,-,-,..,-,-,-,4,2,4,84,1,3,-,110,,,,,,,,,,,,,,,,,,,
,,FINLAND,34,2017,..,-,..,78,40,44,11,..,38,..,..,74,11,47,12,23,11,..,521,,,,,,,,,,,,,,,,,,,
,, ,35,2018,..,-,..,27,27,28,..,..,31,..,..,76,21,174,8,47,15,..,570,,,,,,,,,,,,,,,,,,,
,,,,2019,..,-,..,22,28,12,..,..,15,..,92,88,19,131,..,36,11,..,565,,,,,,,,,,,,,,,,,,,
,, ,36,2020,..,-,..,34,15,43,..,176,96,..,..,116,18,34,552,26,11,..,"1,261",,,,,,,,,,,,,,,,,,,
,,FRANCE,38,2017,2,"2,750",..,24,"1,785",619,22,452,"5,041",..,293,"4,522","1,232","5,289","5,383","3,281",840,"1,320","61,876",,,,,,,,,,,,,,,,,,,
,, ,39,2018,..,"4,429",..,18,"1,592",570,359,440,"5,381",..,329,"3,962",859,"6,539","5,065","3,181",881,612,"62,874",,,,,,,,,,,,,,,,,,,
,,,,2019,..,"3,551",..,21,"2,709",337,331,414,"8,245","19,334",..,"7,985","2,431","5,827","4,826","3,554","2,377",..,"75,125",,,,,,,,,,,,,,,,,,,
,, ,40,2020,5,..,..,63,"2,918","1,255",389,"1,375","8,420","3,206",-282,"8,838","1,097","5,759","7,803","5,029","2,853",805,"69,147",,,,,,,,,,,,,,,,,,,
,,GERMANY,42,2017,..,77,311,179,"1,310","1,169",124,212,644,..,..,"6,674",..,457,"10,036","4,218","1,954",372,"66,845",,,,,,,,,,,,,,,,,,,
,, ,43,2018,41,56,585,107,981,926,158,"1,612",434,"8,546",..,"8,325",..,813,"8,944","6,201","2,753",397,"89,915",,,,,,,,,,,,,,,,,,,
,,,,2019,14,76,595,102,742,828,162,909,577,"9,010",207,"9,148","3,827",720,"6,254","4,376","1,525",314,"44,032",,,,,,,,,,,,,,,,,,,
,, ,44,2020,18,..,562,297,854,"1,399",200,"1,831",692,..,..,"15,620",..,466,"3,626","5,660","1,742",411,"106,633",,,,,,,,,,,,,,,,,,,
,,GREECE,46,2017,-,-,-,..,..,45,-,-,..,..,-,106,..,2,32,2,3,..,-124,,,,,,,,,,,,,,,,,,,
,, ,47,2018,-,-,..,..,..,..,-,-,..,..,-,64,..,5,33,2,..,..,..,,,,,,,,,,,,,,,,,,,
,,,,2019,-,-,..,..,..,..,-,-,..,-,-,52,..,3,7,..,..,..,..,,,,,,,,,,,,,,,,,,,
,, ,48,2020,-,-,..,..,..,..,-,-,..,..,-,125,..,7,21,33,..,1,..,,,,,,,,,,,,,,,,,,,
,,HUNGARY,50,2017,..,-,..,-,-,-,-,-,-,-,-,5,-,3,-,1,2,1,25,,,,,,,,,,,,,,,,,,,
,, ,51,2018,..,-,-,-,-,..,-,-,-,-,..,1,..,3,-,1,1,-,16,,,,,,,,,,,,,,,,,,,
,,,,2019,-,-,-,-,-,..,..,-,-,-,..,8,..,2,-,1,1,1,115,,,,,,,,,,,,,,,,,,,
,, ,52,2020,-,-,..,-,-,..,..,-,-,-,..,31,-,5,2,3,..,5,430,,,,,,,,,,,,,,,,,,,
,,IRISH REPUBLIC,54,2017,39,1,912,54,719,610,27,30,878,947,584,..,..,806,"5,462",346,269,421,"15,750",,,,,,,,,,,,,,,,,,,
,, ,55,2018,44,-,"1,553",35,..,407,18,..,"1,227",146,-324,"2,795",141,"1,243","5,303",890,"1,349",492,"17,161",,,,,,,,,,,,,,,,,,,
,,,,2019,41,-,"1,128",27,"1,811",432,11,9,"1,169",21,365,"2,523",162,"1,344","5,293",906,"1,619","-1,677","15,185",,,,,,,,,,,,,,,,,,,
,, ,56,2020,49,3,"4,111",98,"1,083",497,12,48,"1,070",200,"1,489","10,063",413,"1,138","6,241",909,552,"1,730","29,705",,,,,,,,,,,,,,,,,,,
