,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3.3 FDI International investment positions in the United Kingdom analysed by area & main country and by industrial activity of UK affiliates, 2017 to 2020 (Directional)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,£ million,,,,,,,,,,,,,,,,,,,
,, ,, ,"Agriculture, forest & fishing",Mining & quarrying,"Food products, beverages & tobacco products",Textiles & wood activities,"Petroleum, chemicals, pharmaceuticals, rubber, plastic products",Metal and machinery products,"Computer, electronic and optical products",Transport equipment,Other manufacturing,"Electricity, gas, water and waste",Construction,"Retail & wholesale trade, repair of motor vehicles & motor cycles,",Transportation & storage,Information and communication,Financial services,"Professional, scientific & technical services",Administrative and support service activities,Other services,Total,,,,,,,,,,,,,,,,,,,
,,,91,2018,-,-,-,-,..,..,-,-,..,-,-,..,..,..,..,4,..,-,..,,,,,,,,,,,,,,,,,,,
,,,,2019,-,-,-,-,..,..,-,-,..,-,-,..,..,1,..,73,..,..,"1,216",,,,,,,,,,,,,,,,,,,
,,,92,2020,-,..,-,-,..,..,-,-,..,-,-,..,..,10,..,4,..,..,"1,857",,,,,,,,,,,,,,,,,,,
,,CANADA,90,2017,..,..,"1,959",..,..,"2,395",42,543,70,31,..,578,..,"2,047","4,392",987,..,..,"16,811",,,,,,,,,,,,,,,,,,,
,,,91,2018,..,..,"2,043",..,..,"2,121",42,"4,483",56,..,..,801,..,"5,147","4,469","1,052","1,594",156,"23,605",,,,,,,,,,,,,,,,,,,
,,,,2019,..,-12,"2,556",..,..,"2,025",23,"4,693",71,"2,827",..,598,17,..,"3,616",..,943,467,"29,802",,,,,,,,,,,,,,,,,,,
,,,92,2020,..,-261,"1,834",..,..,"1,099",77,"8,428",79,116,301,856,..,"2,077","13,199",..,"1,662",848,"40,653",,,,,,,,,,,,,,,,,,,
,,USA,94,2017,..,"9,283","33,329","2,183","8,674","3,682","7,019",849,"1,492",..,48,"21,498",855,"28,588","187,025","13,031","4,411","20,403","352,520",,,,,,,,,,,,,,,,,,,
,,,95,2018,34,"8,477",..,576,"5,436","4,363","7,083","1,278","1,910",..,289,"23,410","1,014","95,569","176,688","17,881","14,916","42,682","434,898",,,,,,,,,,,,,,,,,,,
,,,,2019,33,"8,939",..,627,"5,783","8,102","4,219",949,"7,703",..,..,"19,486",..,"51,524","182,639","33,226","10,030","38,038","460,052",,,,,,,,,,,,,,,,,,,
,,,96,2020,..,"7,662",..,833,"6,399","29,872","2,969","1,927","-2,574","4,729",122,"26,585",-832,"51,504","232,746","36,897","10,734","41,457","479,210",,,,,,,,,,,,,,,,,,,
ASIA              ,, ,98,2017,10,"2,157",..,127,..,"1,802","1,819",..,"2,561","2,092",..,"9,462","5,760","20,854","14,501","36,257",..,"3,191","137,193",,,,,,,,,,,,,,,,,,,
,, ,99,2018,13,"2,208","2,587",109,..,"1,916",392,..,"2,417","1,568","1,777","12,256","5,593","22,888","16,830",..,..,"2,688","156,832",,,,,,,,,,,,,,,,,,,
,,,,2019,..,"3,082","5,782",110,..,"2,585",338,"8,121","2,764","1,774","1,656","10,530","5,599","17,802","20,711","53,631",931,"3,568","159,725",,,,,,,,,,,,,,,,,,,
,, ,100,2020,..,..,"9,379",172,..,"2,432","1,805","7,390","2,626","5,212","1,738","16,521","5,486","19,441","31,592","49,343","7,280","11,081","193,846",,,,,,,,,,,,,,,,,,,
,NEAR & MIDDLE,,102,2017,-,26,..,..,..,22,10,..,-37,..,..,97,..,258,"1,419",36,..,619,"18,958",,,,,,,,,,,,,,,,,,,
,EAST COUNTRIES,,103,2018,..,62,-,..,..,17,7,205,194,..,..,132,..,388,"1,451",86,..,643,"19,440",,,,,,,,,,,,,,,,,,,
,,,,2019,-,..,-,..,..,9,2,8,22,..,53,-229,..,456,"1,652",..,81,573,"22,945",,,,,,,,,,,,,,,,,,,
, ,,104,2020,..,..,..,..,..,40,12,..,22,..,41,-229,..,"1,031","2,209","1,143",127,..,"30,789",,,,,,,,,,,,,,,,,,,
,OTHER ASIAN,,106,2017,10,"2,131",..,..,"2,194","1,780","1,809",..,"2,599",..,..,"9,365",..,"20,597","13,082","36,221","1,334","2,571","118,235",,,,,,,,,,,,,,,,,,,
,COUNTRIES,,107,2018,..,"2,146","2,587",..,"2,704","1,898",385,..,"2,223",..,..,"12,124",..,"22,500","15,379",..,917,"2,045","137,392",,,,,,,,,,,,,,,,,,,
,,,,2019,..,..,"5,782",..,"2,512","2,576",336,"8,113","2,742",..,"1,603","10,759",..,"17,345","19,060",..,849,"2,995","136,780",,,,,,,,,,,,,,,,,,,
,of which,,108,2020,..,"1,450",..,..,"1,631","2,392","1,794",..,"2,604",..,"1,697","16,750",..,"18,410","29,382","48,200","7,154",..,"163,056",,,,,,,,,,,,,,,,,,,
,,CHINA,90,2017,-,-,-,..,130,28,40,57,..,-,..,470,..,19,"1,026",33,4,50,"2,280",,,,,,,,,,,,,,,,,,,
,,,91,2018,-,-,-,..,16,41,42,213,28,..,2,231,23,33,"1,073",84,3,4,"1,808",,,,,,,,,,,,,,,,,,,
,,,,2019,-,-,-,..,..,20,42,251,34,..,2,100,13,16,"2,441",180,2,4,"4,336",,,,,,,,,,,,,,,,,,,
,,,92,2020,..,..,..,16,15,..,36,175,17,..,19,257,28,13,"2,512",145,8,8,"3,404",,,,,,,,,,,,,,,,,,,
,,HONG KONG,110,2017,..,..,..,42,40,..,24,16,28,..,..,381,37,..,299,48,356,176,"20,498",,,,,,,,,,,,,,,,,,,
,,,111,2018,..,..,..,25,42,740,11,17,14,..,107,447,8,..,..,286,262,372,"23,422",,,,,,,,,,,,,,,,,,,
,,,,2019,..,..,..,46,80,748,21,16,24,..,184,509,83,..,927,..,232,415,"20,935",,,,,,,,,,,,,,,,,,,
,,,112,2020,..,6,..,59,111,"1,436",..,..,53,982,164,598,..,..,"1,555","1,991","5,302",264,"27,489",,,,,,,,,,,,,,,,,,,
,,INDIA,90,2017,..,-,..,5,45,20,..,23,42,-,..,269,3,381,818,..,118,27,"2,170",,,,,,,,,,,,,,,,,,,
,,,91,2018,..,-,..,2,43,24,..,..,57,-,1,377,18,674,845,133,227,18,"11,550",,,,,,,,,,,,,,,,,,,
,,,,2019,-,-,..,3,41,18,..,..,14,-,..,432,13,503,791,184,237,..,"9,238",,,,,,,,,,,,,,,,,,,
,,,92,2020,..,..,..,11,92,38,5,..,16,-,14,547,4,630,"1,202","1,264",79,784,"10,643",,,,,,,,,,,,,,,,,,,
,,JAPAN,114,2017,..,"1,091",..,49,..,909,..,"1,536",..,..,..,"6,881",114,"2,950","10,555",..,664,"1,110","75,857",,,,,,,,,,,,,,,,,,,
,,,115,2018,..,..,"2,102",47,..,817,289,"1,363","2,091",173,..,"9,779",269,"3,689","11,019",..,232,"1,227","89,908",,,,,,,,,,,,,,,,,,,
,,,,2019,..,"1,106",..,37,872,834,238,"1,392","2,628",144,..,"8,141",356,"4,161","14,547",..,342,"1,327","90,247",,,,,,,,,,,,,,,,,,,
,,,116,2020,..,393,"7,360",..,"1,064",564,133,"1,202","2,472","3,642",..,"13,898",..,"5,193","17,968","38,968",546,"1,919","102,307",,,,,,,,,,,,,,,,,,,
,,SINGAPORE,118,2017,-,-,46,-,..,313,..,..,28,..,41,359,518,59,..,..,61,"1,177","14,901",,,,,,,,,,,,,,,,,,,
,, ,119,2018,-,-,60,-,..,266,37,..,32,..,47,273,496,156,79,"6,047",54,265,"7,931",,,,,,,,,,,,,,,,,,,
,,,,2019,..,-,57,-,301,920,30,25,40,..,31,681,466,159,42,..,..,388,"8,593",,,,,,,,,,,,,,,,,,,
,, ,120,2020,..,-,140,-,328,275,217,..,28,151,..,405,..,120,"4,123","5,603",956,667,"13,458",,,,,,,,,,,,,,,,,,,
,,SOUTH KOREA,122,2017,-,..,-,-,..,6,..,-,..,-,..,711,17,21,34,92,4,..,"2,011",,,,,,,,,,,,,,,,,,,
,, ,123,2018,-,..,-,-,31,5,..,-,..,..,..,821,33,49,31,128,13,..,"2,154",,,,,,,,,,,,,,,,,,,
,,,,2019,-,..,-,-,26,..,..,-,..,..,..,744,24,18,15,246,3,..,"2,024",,,,,,,,,,,,,,,,,,,
,, ,124,2020,-,..,-,-,20,..,..,..,..,..,..,839,27,17,907,..,121,2,"3,015",,,,,,,,,,,,,,,,,,,
AUSTRALASIA,,,126,2017,3,..,152,6,..,28,..,..,30,658,249,"1,064","1,625",113,"2,834","2,259",178,435,"13,944",,,,,,,,,,,,,,,,,,,
& OCEANIA,, ,127,2018,4,..,151,7,..,12,..,..,40,684,304,882,..,402,"2,459","2,601",..,300,"16,657",,,,,,,,,,,,,,,,,,,
,,,,2019,..,..,..,..,"6,691",-10,..,..,40,958,..,291,..,287,"2,482","3,447",101,438,"19,828",,,,,,,,,,,,,,,,,,,
,of which,,128,2020,..,"2,384",331,22,789,39,..,..,63,..,294,627,..,..,"3,360","3,809","2,273",924,"17,727",,,,,,,,,,,,,,,,,,,
,,AUSTRALIA,130,2017,..,..,..,..,..,26,..,..,28,658,..,915,..,..,"2,815","2,247",166,391,"12,596",,,,,,,,,,,,,,,,,,,
,, ,131,2018,..,..,143,..,..,..,..,..,37,684,..,793,..,317,"2,448","2,584",113,247,"16,346",,,,,,,,,,,,,,,,,,,
,,,,2019,..,..,151,..,..,..,..,..,38,958,..,203,..,256,"2,473","3,432",86,..,"19,344",,,,,,,,,,,,,,,,,,,
,, ,132,2020,..,"2,382",323,..,759,..,..,..,43,..,289,497,..,..,"3,101","3,760","2,258",497,"16,742",,,,,,,,,,,,,,,,,,,
,,NEW ZEALAND,134,2017,..,-,..,..,..,2,..,-,2,-,..,142,..,..,19,10,10,43,291,,,,,,,,,,,,,,,,,,,
,,,135,2018,..,-,8,..,..,..,..,-,2,-,..,81,3,84,11,13,..,52,284,,,,,,,,,,,,,,,,,,,
,,,,2019,..,-,..,..,..,..,..,..,2,-,..,79,5,30,9,14,14,..,469,,,,,,,,,,,,,,,,,,,
,, ,136,2020,5,-,9,..,30,..,..,-,20,-,1,118,7,7,119,43,15,427,806,,,,,,,,,,,,,,,,,,,
AFRICA              ,, ,138,2017,-,..,..,2,294,17,..,..,4,-,..,424,13,56,895,27,..,55,"1,974",,,,,,,,,,,,,,,,,,,
,, ,139,2018,-,..,161,1,22,15,..,..,1,-,21,534,..,144,842,..,143,45,"1,983",,,,,,,,,,,,,,,,,,,
,,,,2019,-,..,..,..,..,20,..,..,3,-,10,536,21,218,"2,675",97,994,110,"5,026",,,,,,,,,,,,,,,,,,,
,of which,,140,2020,9,..,299,10,..,156,..,..,16,..,4,681,..,..,"4,349","-1,258","1,501",415,"6,743",,,,,,,,,,,,,,,,,,,
,,SOUTH AFRICA,142,2017,-,-,..,2,-,..,..,..,-,-,..,312,10,..,524,16,35,49,"1,004",,,,,,,,,,,,,,,,,,,
,,,143,2018,-,-,35,1,-,14,..,..,-,-,9,361,..,..,464,29,56,35,985,,,,,,,,,,,,,,,,,,,
,,,,2019,-,-,..,..,..,16,..,..,-,-,..,364,..,13,"1,754",26,930,71,"3,400",,,,,,,,,,,,,,,,,,,
,,,144,2020,-,..,166,9,29,150,..,2,-,-,1,470,3,..,"3,224",..,"1,324",252,"3,950",,,,,,,,,,,,,,,,,,,
WORLD TOTAL,,,146,2017,"1,002","82,996","77,419","5,284","55,803","26,767","25,006","22,327","36,719","55,658","8,932","121,612","55,426","102,126","426,151","120,221","30,532","123,534","1,392,497",,,,,,,,,,,,,,,,,,,
,, ,147,2018,"1,254","64,490","80,057","4,129","57,211","22,111","20,288","29,462","35,829","56,349","9,573","131,209","72,786","188,463","426,934","164,545","43,289","148,199","1,572,819",,,,,,,,,,,,,,,,,,,
,,,,2019,"1,569","77,509","69,966","3,883","57,186","44,556","16,738","31,616","58,352","65,627","20,032","130,865","86,139","142,237","464,567","175,080","33,029","142,907","1,640,440",,,,,,,,,,,,,,,,,,,
,, ,148,2020,"1,997","98,231","74,416","5,366","59,201","62,343","19,590","38,452","43,255","72,349","12,608","159,537","80,414","148,256","587,957","228,260","47,736","169,040","1,929,163",,,,,,,,,,,,,,,,,,,
,OECD                    , ,150,2017,890,"74,319","64,830","4,912","45,767","25,605","24,410","16,338","34,602","50,424","6,770","97,635","47,142","63,766","348,132","73,568","22,813","112,972","1,129,876",,,,,,,,,,,,,,,,,,,
,, ,151,2018,"1,037","52,063","66,083","3,777","45,904","20,871","19,513","18,535","33,356","48,285","6,039","102,387","63,758","141,869","346,610","108,693","36,737","130,871","1,263,028",,,,,,,,,,,,,,,,,,,
,,,,2019,"1,365","64,701","61,617","3,661","46,618","42,054","16,397","22,902","57,389","49,981","17,338","103,296","77,111","102,949","373,645","142,645","30,814","126,840","1,359,906",,,,,,,,,,,,,,,,,,,
,, ,152,2020,"1,534","88,094","65,146","4,661","42,033","59,179","17,758","29,994","41,935","46,307","7,736","121,530","74,293","99,728","461,692","146,792","34,692","136,541","1,499,800",,,,,,,,,,,,,,,,,,,
,CENTRAL &,,154,2017,-,-,-,-,-,-,-,-,-,-,-,-,..,..,-,-,-,-,-2,,,,,,,,,,,,,,,,,,,
,EASTERN,,155,2018,-,-,-,-,-,-,-,-,-,-,..,..,-1,..,-,-,-,-,-1,,,,,,,,,,,,,,,,,,,
,EUROPE,,,2019,-,-,-,-,-,-,-,-,-,-,..,..,-,..,-,-,..,-,1,,,,,,,,,,,,,,,,,,,
,, ,156,2020,-,-,-,-,-,-,-,-,-,-,..,1,2,..,5,..,-,..,24,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The sum of constituent items may not always agree exactly with the totals shown because of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A negative sign before values indicates a net disinvestment in the UK.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For countries listed within regions see Geography tab.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Component breakdown excludes the activities of private property, public corporations and bank holding companies.  These are included in the total. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ..     Indicates data are disclosive,Indicates value is disclosive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     -      Indicates nil data,Indicates value is zero or less than £0.5 million,,,,,,,,,,,,,,,,,,,,,,Source: Office for National Statistics,,,,,,,,,,,,,,,,,,,
