,,"2,005","2,006","2,007","2,008","2,009","2,010","2,011","2,012","2,013","2,014","2,015","2,016","2,017","2,018","2,019","2,020","2,021",,
,Table 4,FDI inward positions ,,,,,,,,,,,,,,,,,,
,In USD millions ,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021p,,
SWE,Sweden*,,,,,,,,,"359,801","293,526","291,338","293,910","337,867","314,353","322,357","385,420","359,332",,
CHE,Switzerland*,,,,,,,,,,"720,433","822,116","1,029,891","1,159,471","1,091,084","1,155,340","1,230,531","1,197,474",,
TUR,Türkiye ,"71,322","95,127","155,160","80,384","143,842","187,147","136,606","190,125","151,832","183,679","159,435","149,366","196,557","144,904","160,770","230,162","140,421",,
GBR,United Kingdom,"788,087","1,035,255","1,124,765","911,115","1,026,351","1,068,143","1,157,485","1,440,525","1,512,648","1,581,494","1,530,652","1,460,578","1,881,501","2,378,084","2,513,606","3,103,447","2,612,825",,
USA,United States,"2,817,970","3,293,053","3,551,307","2,486,446","2,995,459","3,422,293","3,498,726","3,915,804","4,948,418","5,456,888","5,731,383","6,502,750","7,806,330","7,346,877","9,358,681","10,756,552","13,608,375",,
WLD,"Total World1,3","11,384,021","14,188,512","17,908,287","15,300,316","18,226,564","20,376,025","21,309,946","23,452,242","25,766,279","26,735,501","27,499,293","29,250,810","33,734,147","33,661,960","37,358,028","43,245,639","45,311,051",,
EU,European Union (EU)1,"4,316,130","5,502,609","7,021,652","6,230,811","6,918,394","6,905,040","7,187,012","7,743,884","8,432,031","8,316,653","8,868,271","8,786,949","10,566,153","10,846,268","11,551,746","11,989,854","10,772,529",,
EU27_2020,European Union – 27 countries (from 01/02/2020),"3,528,043","4,467,354","5,896,888","5,319,696","5,892,043","5,836,897","6,029,527","6,303,359","6,919,383","6,735,159","7,337,619","7,326,371","8,684,652","8,468,183","9,038,140","11,989,854","10,772,529",,
G20,G20 countries1,"7,270,297","8,896,594","10,720,912","8,640,669","10,748,098","12,288,377","12,738,376","13,873,084","15,388,334","15,929,595","15,715,732","17,008,791","19,539,907","19,504,700","22,328,404","25,219,179","28,159,138",,
G20_OECD,G20-OECD countries1,"6,215,774","7,510,448","8,779,149","6,781,153","8,050,389","8,806,344","8,943,780","9,804,812","11,052,126","11,511,110","11,391,192","12,286,193","14,676,952","14,646,094","17,219,434","19,762,530","22,264,765",,
G20_NON_OECD,G20 -non OECD countries1,"1,054,523","1,386,146","1,941,763","1,859,516","2,697,709","3,482,033","3,794,597","4,068,272","4,336,208","4,418,485","4,324,540","4,722,599","4,862,954","4,858,606","5,108,971","5,456,649","5,894,374",,
ARG,Argentina2 ,"37,843","59,882","66,226","75,235","78,205","85,591","92,295","98,706","88,338","89,716","79,773","74,868","80,700","72,589","70,458","85,371","99,890",,
BRA,Brazil,"177,915","213,021","292,531","260,531","367,183","640,330","649,126","664,208","627,789","601,490","429,843","563,539","623,021","568,741","705,031","595,285","592,761",,
CHN,China2,"471,549","614,383","703,667","915,524","1,314,771","1,569,604","1,906,908","2,068,000","2,331,238","2,599,102","2,696,344","2,755,147","2,725,662","2,827,064","2,796,396","3,231,225","3,623,770",,
IND,India2 ,"50,614","70,282","105,790","125,212","171,437","205,603","206,373","224,987","226,549","265,838","282,617","318,320","377,287","386,172","426,959","480,255","514,196",,
IDN,Indonesia ,,,,,,"160,735","184,804","211,635","230,799","217,487","222,410","249,859","231,492","225,720","235,348","240,564","259,884",,
RUS,Russia,"178,635","263,903","488,280","212,887","367,379","464,228","408,942","438,195","471,475","290,039","262,748","393,910","441,123","408,097","493,156","449,047","497,690",,
SAU,Saudi Arabia2,,,"73,480","112,935","148,089","176,378","186,758","199,032","207,897","215,909","224,050","231,502","227,566","231,814","236,376","241,775","173,055",,
ZAF,South Africa2,"96,693","106,929","131,831","83,649","138,751","179,564","159,391","163,509","152,123","138,904","126,755","135,453","156,103","138,410","145,247","133,127",,,
,,,,,,,,,,,,,,,,,,,,
,*Data excludes SPEs. Corresponding data below including SPEs:,,,,,,,,,,,,,,,,,,,
AUT,Austria,"154,661","192,734","281,487","267,318","301,007","259,375","251,820","275,538","293,459","273,217","244,352","200,747","266,655","217,977","189,773","210,155","214,714",,
BEL,Belgium,"477,763","618,991","784,631","407,429","458,331","473,352","484,093","561,751","625,211","556,016","549,359","534,028","597,659","575,491","614,040","633,087","605,329",,
DNK,Denmark,"98,227","110,552","136,091","123,983","122,692","110,826","109,545","107,226","89,848","125,056","114,373","135,004","151,450","155,561","141,519","160,664","146,591",,
EST,Estonia,"11,192","12,119","15,671","15,450","15,842","15,551","16,349","18,934","22,017","20,900","18,918","19,658","24,049","25,014","28,117","34,798","35,426",,
FIN,Finland,"54,800","70,569","91,703","83,539","85,169","85,855","89,226","96,636","88,807","93,047","81,660","79,930","89,987","72,069","85,817","90,471","86,294",,
HUN,Hungary,"87,562","119,852","195,814","256,459","265,443","213,051","226,287","248,407","248,786","224,508","198,252","240,345","250,006","177,276","239,177","342,236","358,540",,
ISL,Iceland,"4,689","7,692","16,451","9,215","8,622","11,784","12,656","10,367","11,746","11,077","11,293","13,302","10,525","9,133","8,819","7,912","8,092",,
KOR,Korea,"62,020","70,951","68,051","75,446","117,732","134,234","133,665","156,142","172,554","170,704","169,659","175,350","211,962","214,698","219,137","233,376",,,
LUX,Luxembourg,,,,,,,,"2,526,508","2,973,433","3,236,899","3,753,106","3,787,005","4,229,862","3,697,322","3,518,130","3,693,154","3,326,912",,
NLD,Netherlands,"1,627,978","2,113,861","2,764,271","2,838,993","3,223,862","3,178,272","3,503,696","3,824,017","4,417,642","4,318,779","3,945,284","4,177,593","4,918,916","4,578,498","4,555,768","4,524,615","4,331,545",,
NOR,Norway,"76,322","95,662","125,571","112,788","147,063","171,633","178,381","200,183","193,246","174,522","149,473","149,611","148,530","164,300","180,150","181,359","181,176",,
POL,Poland,"88,177","121,696","172,104","157,157","176,904","195,409","174,661","203,333","232,014","214,514","185,177","188,853","241,218","231,603","241,621","257,586","271,915",,
PRT,Portugal,"73,568","98,891","125,506","113,507","125,413","121,237","111,286","123,286","149,652","140,059","136,653","134,141","165,691","155,490","165,124","182,481","180,959",,
ESP,Spain,,,,,,,,,"649,235","596,669","561,590","591,525","717,944","752,567","775,913","858,918","821,466",,
SWE,Sweden,"171,902","227,169","293,910","278,734","332,108","347,163","349,058","373,444","392,498","320,610","317,407","317,161","365,713","338,325","347,405","414,532","385,144",,
CHE,Switzerland,"170,156","268,929","353,325","447,507","499,595","610,852","682,874","741,867","781,206","826,996","982,396","1,279,208","1,420,756","1,396,677","1,460,462","1,424,862","1,349,203",,
,Source: OECD and IMF,,,,,,,,,,,,,,,,,,,
,OECD Directorate for Financial and Enterprise Affairs - Investment Division,,,,,,,,,,,,,,,,,,,
